encoderank,encodeimage,encodename,fixation
168,CFD_faces_testing/CFD-BF-210-130-N.jpg,Josie,3.57231802885209
40,CFD_faces_testing/CFD-AF-239-171-N.jpg,Skye,2.3605985379414
222,CFD_faces_testing/CFD-BM-012-018-N.jpg,Ezra,2.53338227546684
279,CFD_faces_testing/CFD-BM-226-276-N.jpg,Bryan,4.11832278352584
98,CFD_faces_testing/CFD-AM-242-176-N.jpg,Zane,4.49407926916115
488,CFD_faces_testing/CFD-WF-236-107-N.jpg,Cassie,2.10450146170319
371,CFD_faces_testing/CFD-LM-209-111-N.jpg,Brady,4.2735161311578
179,CFD_faces_testing/CFD-BF-221-223-N.jpg,Marie,4.87133653400349
553,CFD_faces_testing/CFD-WM-212-097-N.jpg,Lamar,3.02861154499054
386,CFD_faces_testing/CFD-LM-224-162-N.jpg,Dante,3.91473112827412
474,CFD_faces_testing/CFD-WF-222-092-N.jpg,Brenna,3.02901743591098
455,CFD_faces_testing/CFD-WF-203-229-N.jpg,Alison,2.64941418854762
162,CFD_faces_testing/CFD-BF-204-189-N.jpg,Ciara,4.35860188109163
161,CFD_faces_testing/CFD-BF-203-184-N.jpg,Kiana,4.16926987863642
413,CFD_faces_testing/CFD-LM-252-076-N.jpg,Aiden,2.83651671436237
574,CFD_faces_testing/CFD-WM-234-118-N.jpg,Elton,3.74729428611344
267,CFD_faces_testing/CFD-BM-213-134-N.jpg,Ethan,3.26301734410484
85,CFD_faces_testing/CFD-AM-229-224-N.jpg,Alan,2.2762061202631
352,CFD_faces_testing/CFD-LF-245-166-N.jpg,Tamra,2.07208197502025
431,CFD_faces_testing/CFD-WF-018-017-N.jpg,Alicia,3.4734374120341
91,CFD_faces_testing/CFD-AM-235-241-N.jpg,Cade,2.83480106045564
584,CFD_faces_testing/CFD-WM-244-003-N.jpg,Grady,3.01927149245319
319,CFD_faces_testing/CFD-LF-212-066-N.jpg,Traci,2.86204882854523
54,CFD_faces_testing/CFD-AF-253-130-N.jpg,Tera,2.51270970574843
