encoderank,encodeimage,encodename,fixation
449,CFD_faces_testing/CFD-WF-037-029-N.jpg,Amelia,4.47892016253929
35,CFD_faces_testing/CFD-AF-234-208-N.jpg,Iris,4.97360959960624
345,CFD_faces_testing/CFD-LF-238-154-N.jpg,Susie,3.57184294779083
498,CFD_faces_testing/CFD-WF-246-087-N.jpg,Brandy,4.77631066889434
314,CFD_faces_testing/CFD-LF-207-198-N.jpg,Randi,4.21706558456577
517,CFD_faces_testing/CFD-WM-016-001-N.jpg,Felix,3.70229016851576
578,CFD_faces_testing/CFD-WM-238-020-N.jpg,Monty,4.90633298882872
414,CFD_faces_testing/CFD-LM-253-075-N.jpg,Terry,4.47349825945677
93,CFD_faces_testing/CFD-AM-237-154-N.jpg,Troy,4.87882783699365
471,CFD_faces_testing/CFD-WF-219-038-N.jpg,Deanna,3.93903819633207
115,CFD_faces_testing/CFD-BF-006-017-N.jpg,Sarah,3.13872045632087
33,CFD_faces_testing/CFD-AF-232-078-N.jpg,Cara,3.42972404264099
142,CFD_faces_testing/CFD-BF-035-001-N.jpg,Carly,4.73566943750216
221,CFD_faces_testing/CFD-BM-011-016-N.jpg,Todd,2.04456156730362
401,CFD_faces_testing/CFD-LM-239-075-N.jpg,Larry,2.47008154170189
60,CFD_faces_testing/CFD-AM-203-086-N.jpg,Noah,3.41470362958955
105,CFD_faces_testing/CFD-AM-249-163-N.jpg,Jace,3.62897508453577
4,CFD_faces_testing/CFD-AF-203-077-N.jpg,Sara,2.17907309715743
237,CFD_faces_testing/CFD-BM-028-002-N.jpg,Kent,3.97409091688425
543,CFD_faces_testing/CFD-WM-202-107-N.jpg,Davon,4.66890591013713
119,CFD_faces_testing/CFD-BF-010-001-N.jpg,Haley,2.32889781834564
406,CFD_faces_testing/CFD-LM-244-068-N.jpg,Pablo,3.31331934265434
42,CFD_faces_testing/CFD-AF-241-141-N.jpg,Sage,2.84069026882197
96,CFD_faces_testing/CFD-AM-240-191-N.jpg,Chad,4.95573893735361
