encoderank,encodeimage,encodename,fixation
403,CFD_faces_testing/CFD-LM-241-125-N.jpg,Myles,3.1381095040582
552,CFD_faces_testing/CFD-WM-211-054-N.jpg,Lewis,4.59401763914911
377,CFD_faces_testing/CFD-LM-215-247-N.jpg,Ruben,3.2598811082321
327,CFD_faces_testing/CFD-LF-220-120-N.jpg,Audra,2.71963242047565
278,CFD_faces_testing/CFD-BM-225-154-N.jpg,Devin,3.79296354924104
37,CFD_faces_testing/CFD-AF-236-145-N.jpg,Jane,3.43821321080598
81,CFD_faces_testing/CFD-AM-225-102-N.jpg,Owen,4.6956425055056
469,CFD_faces_testing/CFD-WF-217-085-N.jpg,Shania,4.80412771374143
201,CFD_faces_testing/CFD-BF-243-164-N.jpg,Ellen,4.45366050143335
8,CFD_faces_testing/CFD-AF-207-023-N.jpg,Maya,4.12672693670546
92,CFD_faces_testing/CFD-AM-236-090-N.jpg,Raul,4.22966171121352
326,CFD_faces_testing/CFD-LF-219-223-N.jpg,Alisa,4.69912934754965
122,CFD_faces_testing/CFD-BF-013-001-N.jpg,Maria,2.19571941451908
291,CFD_faces_testing/CFD-BM-238-242-N.jpg,Aidan,3.00773351403758
340,CFD_faces_testing/CFD-LF-233-277-N.jpg,Doris,2.01300521782639
494,CFD_faces_testing/CFD-WF-242-001-N.jpg,Kaylie,4.48428680944816
580,CFD_faces_testing/CFD-WM-240-125-N.jpg,Elmer,3.52230613190953
551,CFD_faces_testing/CFD-WM-210-057-N.jpg,Duane,3.09848730844719
404,CFD_faces_testing/CFD-LM-242-002-N.jpg,Damon,2.67991915293311
13,CFD_faces_testing/CFD-AF-212-097-N.jpg,Kyra,3.60449512879069
390,CFD_faces_testing/CFD-LM-228-188-N.jpg,Miles,2.86845459916869
419,CFD_faces_testing/CFD-WF-006-002-N.jpg,Shelby,2.20511269233561
94,CFD_faces_testing/CFD-AM-238-269-N.jpg,Cory,2.25491223670078
23,CFD_faces_testing/CFD-AF-222-134-N.jpg,Ella,2.20501840440201
