encoderank,encodeimage,encodename,fixation
114,CFD_faces_testing/CFD-BF-005-001-N.jpg,Emily,3.70780451323106
6,CFD_faces_testing/CFD-AF-205-155-N.jpg,Jada,2.74631198866423
151,CFD_faces_testing/CFD-BF-044-034-N.jpg,Raven,2.95790477456269
46,CFD_faces_testing/CFD-AF-245-143-N.jpg,Lena,4.73240669665082
67,CFD_faces_testing/CFD-AM-210-035-N.jpg,Luis,4.65566012298323
251,CFD_faces_testing/CFD-BM-044-001-N.jpg,Nick,4.38376827249756
360,CFD_faces_testing/CFD-LF-253-003-N.jpg,Nicole,4.77742942150063
65,CFD_faces_testing/CFD-AM-208-143-N.jpg,Jack,2.53651985232763
522,CFD_faces_testing/CFD-WM-021-001-N.jpg,Kevon,3.5526234447094
393,CFD_faces_testing/CFD-LM-231-214-N.jpg,Simon,3.88101594922793
366,CFD_faces_testing/CFD-LM-203-026-N.jpg,Malik,4.73954703770271
524,CFD_faces_testing/CFD-WM-023-001-N.jpg,Jarod,3.99190476151642
335,CFD_faces_testing/CFD-LF-228-125-N.jpg,Terra,3.16757846897784
172,CFD_faces_testing/CFD-BF-214-308-N.jpg,Clara,4.22002274424846
504,CFD_faces_testing/CFD-WF-252-159-N.jpg,Sharon,4.45290457912619
72,CFD_faces_testing/CFD-AM-215-120-N.jpg,Alex,3.80103437952948
1,CFD_faces_testing/CFD-AF-200-228-N.jpg,Emma,2.25499119350811
355,CFD_faces_testing/CFD-LF-248-160-N.jpg,Lauren,4.76707400327016
592,CFD_faces_testing/CFD-WM-253-119-N.jpg,Joseph,2.16079344594967
500,CFD_faces_testing/CFD-WF-248-129-N.jpg,Noelle,3.5810748580321
323,CFD_faces_testing/CFD-LF-216-121-N.jpg,Sally,2.35655982985924
273,CFD_faces_testing/CFD-BM-219-141-N.jpg,Brian,3.14042897072301
373,CFD_faces_testing/CFD-LM-211-128-N.jpg,Jonah,4.43849759904533
102,CFD_faces_testing/CFD-AM-246-184-N.jpg,Lane,2.73228774671507
