encoderank,encodeimage,encodename,fixation
145,CFD_faces_testing/CFD-BF-038-037-N.jpg,Holly,3.5823018883299
407,CFD_faces_testing/CFD-LM-246-087-N.jpg,Kyler,4.17497588407172
304,CFD_faces_testing/CFD-BM-251-013-N.jpg,Jaden,3.82224737343481
489,CFD_faces_testing/CFD-WF-237-067-N.jpg,Marina,3.76509933738575
225,CFD_faces_testing/CFD-BM-016-036-N.jpg,Reid,3.30030452009917
590,CFD_faces_testing/CFD-WM-251-002-N.jpg,Joshua,2.73251868052108
66,CFD_faces_testing/CFD-AM-209-048-N.jpg,Juan,3.28688106133402
436,CFD_faces_testing/CFD-WF-023-003-N.jpg,Karina,2.03053236656533
149,CFD_faces_testing/CFD-BF-042-026-N.jpg,Karla,3.82646434713308
2,CFD_faces_testing/CFD-AF-201-060-N.jpg,Anna,4.87392556459207
464,CFD_faces_testing/CFD-WF-212-050-N.jpg,Vivian,2.2863395706488
24,CFD_faces_testing/CFD-AF-223-183-N.jpg,Kira,2.10677169014044
387,CFD_faces_testing/CFD-LM-225-130-N.jpg,Josue,4.65870533397725
358,CFD_faces_testing/CFD-LF-251-057-N.jpg,Rachel,2.74082409517249
400,CFD_faces_testing/CFD-LM-238-129-N.jpg,Louis,2.02674516876001
208,CFD_faces_testing/CFD-BF-250-121-N.jpg,Alina,4.44476081434412
25,CFD_faces_testing/CFD-AF-224-026-N.jpg,Lisa,2.4214983096463
315,CFD_faces_testing/CFD-LF-208-127-N.jpg,Kelsi,4.63959932085201
547,CFD_faces_testing/CFD-WM-206-045-N.jpg,Donte,2.28613035827157
97,CFD_faces_testing/CFD-AM-241-287-N.jpg,Kobe,3.05768030374592
68,CFD_faces_testing/CFD-AM-211-052-N.jpg,Evan,3.78026170336247
585,CFD_faces_testing/CFD-WM-245-123-N.jpg,Ernie,3.75554491543578
100,CFD_faces_testing/CFD-AM-244-222-N.jpg,Tony,4.00304529255351
31,CFD_faces_testing/CFD-AF-230-193-N.jpg,Ruth,3.94408134516711
